iter	Passed	Remaining
0	3	781
1	6	600
2	8	579
3	11	557
4	13	540
5	16	523
6	18	507
7	21	514
8	23	507
9	26	500
10	29	499
11	31	493
12	33	488
13	36	482
14	38	478
15	41	479
16	44	474
17	46	469
18	48	464
19	51	461
20	53	456
21	56	453
22	58	448
23	60	445
24	63	443
25	65	438
26	67	434
27	70	432
28	73	430
29	76	431
30	78	429
31	81	427
32	84	425
33	86	424
34	89	423
35	92	420
36	94	418
37	97	415
38	100	414
39	103	412
40	105	410
41	108	407
42	111	406
43	114	404
44	116	401
45	119	399
46	121	395
47	123	392
48	126	389
49	129	387
50	132	385
51	134	383
52	137	380
53	139	378
54	142	375
55	145	372
56	147	371
57	150	368
58	152	365
59	155	363
60	157	359
61	160	357
62	163	355
63	165	352
64	168	350
65	171	348
66	174	346
67	176	343
68	179	340
69	182	338
70	184	335
71	187	333
72	190	330
73	192	327
74	194	324
75	196	321
76	199	318
77	201	315
78	203	312
79	206	309
80	208	306
81	211	303
82	213	301
83	216	298
84	218	295
85	220	292
86	223	290
87	225	287
88	228	285
89	231	282
90	233	279
91	236	277
92	238	274
93	241	272
94	243	269
95	246	266
96	248	264
97	251	261
98	253	258
99	256	256
100	258	253
101	260	250
102	263	247
103	265	245
104	267	242
105	270	239
106	272	237
107	275	234
108	277	231
109	280	229
110	282	226
111	285	223
112	287	221
113	290	219
114	293	217
115	296	214
116	299	212
117	302	210
118	305	207
119	307	205
120	310	202
121	312	199
122	315	197
123	317	194
124	320	192
125	322	189
126	325	186
127	327	184
128	329	181
129	332	178
130	334	176
131	336	173
132	339	171
133	342	168
134	344	165
135	347	163
136	349	160
137	351	158
138	354	155
139	356	152
140	359	150
141	361	147
142	364	145
143	367	142
144	369	140
145	371	137
146	374	135
147	376	132
148	379	130
149	382	127
150	385	124
151	387	122
152	389	119
153	392	117
154	394	114
155	397	112
156	399	109
157	402	107
158	405	104
159	407	101
160	410	99
161	412	96
162	415	94
163	419	91
164	425	90
165	431	88
166	437	86
167	440	83
168	442	81
169	444	78
170	447	75
171	449	73
172	451	70
173	453	67
174	455	65
175	458	62
176	460	59
177	462	57
178	464	54
179	466	51
180	469	49
181	471	46
182	473	43
183	476	41
184	478	38
185	480	36
186	482	33
187	484	30
188	486	28
189	488	25
190	491	23
191	493	20
192	495	17
193	497	15
194	499	12
195	501	10
196	503	7
197	505	5
198	508	2
199	510	0
