iter	Logloss
0	0.6665556946
1	0.644025634
2	0.6227557471
3	0.607847477
4	0.5916398105
5	0.5806082731
6	0.5714847958
7	0.5595531056
8	0.5490966527
9	0.5395007606
10	0.5326268192
11	0.5229198811
12	0.5155796735
13	0.5074979932
14	0.4987032364
15	0.4869142616
16	0.4808171095
17	0.47592481
18	0.4681569795
19	0.461575852
20	0.4531894952
21	0.4485655671
22	0.4440411621
23	0.4345821038
24	0.4295495655
25	0.4228692568
26	0.4175143329
27	0.4135300866
28	0.4063164557
29	0.4005862344
30	0.3974039266
31	0.3921270549
32	0.3873541041
33	0.3819668722
34	0.3781755768
35	0.3755158618
36	0.3720398024
37	0.3692327507
38	0.3654611414
39	0.3625137896
40	0.3588123043
41	0.355759092
42	0.3544568973
43	0.3525863681
44	0.3496864207
45	0.3459871629
46	0.3434980964
47	0.3410843073
48	0.3370741552
49	0.3340129426
50	0.3328895722
51	0.3295217107
52	0.3272864529
53	0.3255915465
54	0.3209338602
55	0.3185024847
56	0.3159212888
57	0.3125670415
58	0.3106609551
59	0.3079796095
60	0.3064669428
61	0.3042100969
62	0.2994737877
63	0.2957992699
64	0.2935063635
65	0.2904632813
66	0.2884885302
67	0.2852404085
68	0.281704972
69	0.2791859115
70	0.2778892379
71	0.2750990429
72	0.2713815765
73	0.268724777
74	0.2658300379
75	0.2639876159
76	0.2628798761
77	0.2589813176
78	0.2564281143
79	0.2540966462
80	0.2520232596
81	0.2491779243
82	0.2467039298
83	0.2447856065
84	0.2421012761
85	0.2393772571
86	0.2376758747
87	0.2343000706
88	0.2305787682
89	0.2289363423
90	0.228314761
91	0.2248521883
92	0.2217439008
93	0.2206223201
94	0.2178661533
95	0.2176561137
96	0.2156471415
97	0.2128652614
98	0.2113499757
99	0.2091977845
100	0.2058810945
101	0.2030198001
102	0.2003792305
103	0.1979615927
104	0.1957839966
105	0.1937313947
106	0.1923001401
107	0.1906984742
108	0.1898950579
109	0.1883695808
110	0.1881770237
111	0.1863706716
112	0.1854730408
113	0.1836694838
114	0.1815063616
115	0.1789055597
116	0.1778515714
117	0.1764071808
118	0.1741681721
119	0.1727132779
120	0.1710212853
121	0.1689765548
122	0.1677317087
123	0.1640958788
124	0.1623237772
125	0.1605284327
126	0.1596808911
127	0.1575257228
128	0.1558308137
129	0.1555895583
130	0.1549809832
131	0.1537458084
132	0.151864201
133	0.1516340671
134	0.1502684156
135	0.1480353137
136	0.1470151301
137	0.1452800733
138	0.1437641362
139	0.1414301221
140	0.1410949743
141	0.1394154794
142	0.1392388902
143	0.1379986219
144	0.1361045518
145	0.1346149883
146	0.1332400378
147	0.1317847723
148	0.1310932718
149	0.130447039
150	0.1298417967
151	0.1285345627
152	0.128217654
153	0.1280325708
154	0.1271048846
155	0.1260013911
156	0.1243871713
157	0.1230390409
158	0.121960141
159	0.1218001667
160	0.1202445725
161	0.119960184
162	0.1184336674
163	0.1174863957
164	0.1154224126
165	0.1153235397
166	0.1143104644
167	0.1129675539
168	0.1121127028
169	0.1107537151
170	0.1096345957
171	0.1093282653
172	0.1078081242
173	0.1075925736
174	0.1070097977
175	0.1059511668
176	0.1049484014
177	0.1039862239
178	0.1027028488
179	0.1020595253
180	0.1017692328
181	0.1011957889
182	0.1000821446
183	0.09921613711
184	0.09908990956
185	0.09903254704
186	0.09807638804
187	0.09657132778
188	0.09622071404
189	0.0952659364
190	0.0943469452
191	0.09358220751
192	0.09275607983
193	0.09247495454
194	0.09198428697
195	0.09131891632
196	0.0903226673
197	0.08993161309
198	0.08928829206
199	0.08830831869
